bedrift,tlf,daglig leder,styreleder,er Eierbekreftet,har Beskrivelse,har Fritekst,har Dyplenker,har SEO,har Premium SEO,har Åpningstider,har Facebook,facebook,org num
Felleskatalogen AS,23161550.0,Bente Cecilie By Jansen,Øyvind Kongstun Arnesen,False,False,False,False,False,False,False,True,https://www.facebook.com/249869231700727,965614923
Skovveien Gull Sølv Diamanter,22562288.0,Inger Bjørnstad Flatmo,Inger Bjørnstad Flatmo,True,True,True,True,True,True,True,True,https://www.facebook.com/1136954769736746,992143215
Premie-Magasinet AS,47976893.0,Jørn-Inge Malmgård,Jørn-Inge Malmgård,True,True,False,True,True,True,False,True,https://www.facebook.com/1586033288376266,915239803
Donnas Smykkegalleri AS,22414407.0,Donna Jean Holdroyd,Pål Kristiansen,True,True,False,True,True,True,True,True,https://www.facebook.com/195842897292499,999131514
Briljant Ur og Gull AS,22443845.0,Joel Murad,Shaul Murad,True,True,True,True,True,True,True,True,https://www.facebook.com/148899011800372,976783689
Roschberg Mynthandel AS,22554400.0,Henning Roschberg,Henning Roschberg,False,False,False,False,False,False,True,True,https://www.facebook.com/276174012461688,986375007
Pandora Norge AS,22338560.0,Sonia Lopez Delgado,Peter Ring,False,False,False,False,False,False,False,False,,995513676
KGD -Kaja Gjedebo Design,99381308.0,Kaja Gjedebo,,False,False,False,False,False,False,False,True,https://www.facebook.com/109221445833890,985204012
Watch & Silver Image AS,23362012.0,Jan-Øyvind Johnsen,Jan-Øyvind Johnsen,False,False,False,False,False,False,False,False,,980579220
N M Thune AS,22700840.0,Erling Bjerke,Erling Bjerke,False,False,False,False,False,False,False,False,,933312402
David-Andersen AS avd CC Vest,21547990.0,Inge Nygaard,Kristin Gjesvik Havig-Gjelseth,False,False,False,False,False,False,False,False,,985172277
Drassed Kalvø,99712201.0,Nathalie Marie Pierre Colette Kalvø,,False,False,False,False,False,False,False,False,,986003118
Heyerdahl Gullsmed & Urmaker CC-Vest,22552525.0,Thomas Sten Heyerdahl,Thomas Sten Heyerdahl,False,False,False,False,False,False,False,True,https://www.facebook.com/74162238476,947722565
Juvelen CC Vest,94020335.0,Aida-Karin Breidvik Gundersen,Kristoffer Olsen,False,False,False,False,False,False,False,True,https://www.facebook.com/227468313931978,916588739
Thune Gullsmed & Urmaker AS avd Skøyen,22454360.0,Erling Bjerke,Erling Bjerke,False,False,False,False,False,False,False,True,https://www.facebook.com/157076791018281,957338879
Expo Arte (A-M Høisæther),91732470.0,Anne-Mette Høisæther,Anne-Mette Høisæther,False,False,False,False,False,False,False,True,https://www.facebook.com/543295969025563,947001701
Bjørn Engebretsen AS,22220043.0,Bjørn Egil Engebretsen,Bjørn Egil Engebretsen,False,False,False,False,False,False,True,True,https://www.facebook.com/931893416888975,911442493
AVS Design Alexander Von Schwind,90590908.0,Reinhard Alexander Schmidt Von Schwind,,False,False,False,False,False,False,False,False,,984200544
Alexander Von Schwind AS,,Reinhard Alexander Schmidt Von Schwind,Reinhard Alexander Schmidt Von Schwind,False,False,False,False,False,False,False,False,,826288922
Avs Design Alexander Von Schwind,90590908.0,Reinhard Alexander Schmidt Von Schwind,,False,False,False,False,False,False,False,False,,984200544
Slawomir Schneider,,Slawomir Stanislaw Schneider,,False,False,False,False,False,False,False,False,,928717801
Lang Jørn G Smykkeverkstedet,22261861.0,Jørn Gunvald Lang,Jørn Gunvald Lang,False,False,False,False,False,False,False,False,,955212118
Smykkeverkstedet Jørn G Lang,22261861.0,Jørn Gunvald Lang,Jørn Gunvald Lang,False,False,False,False,False,False,False,False,,955212118
Gullborgen Holding AS,,Elisabeth Borgen,Elisabeth Borgen,False,False,False,False,False,False,False,False,,989251570
Bjørklund Norge AS,22728550.0,Kai Gustav Piene,Kai Gustav Piene,False,False,False,False,False,False,False,True,https://www.facebook.com/1576526235993061,964086192
Bjørklund Netthandel AS,22728550.0,Tom Dreyer,Kai Gustav Piene,False,False,False,False,False,False,False,True,https://www.facebook.com/123943274309901,992279567
Focus Media AS,22600630.0,Kaare Mathiesen,Kaare Mathiesen,False,False,False,False,False,False,False,False,,977218179
Focus Media Studentbedrift,,Ruben Nicolai Johnsen Birkelund,,False,False,False,False,False,False,False,False,,919787309
Filatelistisk Forlag AS,,Erik Olafsen,Erik Olafsen,False,False,False,False,False,False,False,False,,914378311
Ringlets Forlag Tor Egil Kvalnes,,Tor Egil Kvalnes,,False,False,False,False,False,False,False,False,,920865933
IT Media,69335439.0,Jon Bjørge Grønvold Hansen,Jon Bjørge Grønvold Hansen,False,False,False,False,False,False,False,False,,977021502
Id Media AS,,Brigt Bøhn Skrettingland,Per Kverneland,False,False,False,False,False,False,False,False,,915908128
Retriever Norge AS,22910350.0,Robert Carl Sture Söderling,Mats Karl-Evert Johansson,False,False,False,False,False,False,False,True,https://www.facebook.com/178052735558990,981076605
Dagens Næringsliv,22001000.0,Janne Johannessen,Trond Sundnes,False,False,False,False,False,False,False,True,https://www.facebook.com/254533640286,960356071
Amedia Teknologi AS,63896100.0,Lars Petter Gustavsen,Terje Aleksander Haug,False,False,False,False,False,False,False,False,,935534291
Vestvågøy kommune,76056000.0,Morten Senneset Dyrstad,,False,False,False,False,False,False,True,True,https://www.facebook.com/1727918430766362,942570619
Max Marketing Gruppen (Adresse-Huset AS),38170035.0,Johannes Bernhard Havig,Haakon Lunde,False,False,False,False,False,False,False,False,,990832889
Schibsted Norge AS avd Bergen,95517979.0,Siv Juvik Tveitnes,Kristin Skogen Lund,False,False,False,False,False,False,False,False,,996334767
Nevion AS,33489999.0,Thomas Ralf Heinzer,Mikio Kita,False,False,False,False,False,False,False,True,https://www.facebook.com/231685593572492,976584201
Meltwater News AS,23962189.0,Gard Arneson Haugen,Jørn Lyseggen,False,False,False,False,False,False,False,False,,983803075
